,filename_prefix,Label,structure,PhysicalSize,Roundness,5-EU_0_Mean,5-EU_0_Skewness,SYTOX_0_Mean,SYTOX_0_Sum
185898,20210416_Timecourse5EU_s5_NA,677,nuclei,1130.61,0.931541123916148,40.94170403587444,2.244895331112434,92.37668161434978,61800.0
185899,20210416_Timecourse5EU_s5_NA,678,nuclei,49.010000000000005,0.7336177175925364,44.37931034482759,1.1862771804655368,77.72413793103448,2254.0
185900,20210416_Timecourse5EU_s5_NA,679,nuclei,201.11,0.7942944192332023,70.21008403361344,2.9393214717197544,78.6218487394958,9356.0
185901,20210416_Timecourse5EU_s5_NA,680,nuclei,2394.73,0.8283374079131647,79.43754410726888,2.407236705605105,117.70218772053634,166784.0
185902,20210416_Timecourse5EU_s5_NA,681,nuclei,2445.4300000000003,0.9409665953345876,64.54181064270905,1.677774564883511,152.98341395991707,221367.0
185903,20210416_Timecourse5EU_s5_NA,682,nuclei,2661.7500000000005,0.9123456388595116,57.69460317460317,1.5322028978022832,144.08825396825398,226939.0
185904,20210416_Timecourse5EU_s5_NA,683,nuclei,57.46000000000001,0.5990910143702919,54.11764705882353,0.7816782955840207,92.38235294117646,3141.0
185905,20210416_Timecourse5EU_s5_NA,684,nuclei,2136.1600000000003,0.9316521155404606,50.96518987341772,2.0233081499106373,137.49129746835442,173789.0
185906,20210416_Timecourse5EU_s5_NA,685,nuclei,2159.82,0.8472525398304298,67.41627543035993,1.421491998019098,142.65414710485132,182312.0
185907,20210416_Timecourse5EU_s5_NA,686,nuclei,2104.05,0.8636375578284942,57.74538152610442,2.7949757570587828,109.34698795180722,136137.0
185908,20210416_Timecourse5EU_s5_NA,687,nuclei,2406.5600000000004,0.8819017055524057,78.67485955056179,1.983331583233088,114.34901685393258,162833.0
185909,20210416_Timecourse5EU_s5_NA,688,nuclei,194.35,0.832453579301958,100.35652173913044,0.8159682293271681,78.5304347826087,9031.0
185910,20210416_Timecourse5EU_s5_NA,689,nuclei,2807.09,0.9408370164256876,65.93497892835641,2.5389339613760207,118.50451535219749,196836.0
185911,20210416_Timecourse5EU_s5_NA,690,nuclei,2732.7300000000005,0.9188100139449704,47.65367965367965,2.0976775977104536,120.4143475572047,194710.0
185912,20210416_Timecourse5EU_s5_NA,691,nuclei,1941.81,0.8704760577639058,72.68233246301132,1.6446990302496989,147.88946910356833,169925.0
185913,20210416_Timecourse5EU_s5_NA,692,nuclei,1145.8200000000002,0.8983985358227299,44.37905604719764,0.0451902814573883,291.27286135693214,197483.0
185914,20210416_Timecourse5EU_s5_NA,693,nuclei,2842.5800000000004,0.9280770868238012,59.87514863258026,2.9714753737617587,129.10225921522,217150.0
185915,20210416_Timecourse5EU_s5_NA,694,nuclei,1607.19,0.7688023582755947,57.52681388012618,2.274323440796726,129.34805467928496,123010.0
185916,20210416_Timecourse5EU_s5_NA,695,nuclei,376.87000000000006,0.8498889241118128,46.81165919282511,2.245278324761796,101.86547085201794,22716.0
185917,20210416_Timecourse5EU_s5_NA,696,nuclei,1495.65,0.7692227978758712,47.33446327683616,3.490970071614817,109.01581920903956,96479.0
185918,20210416_Timecourse5EU_s5_NA,697,nuclei,2408.2500000000005,0.9167217987540548,52.60771929824561,2.758353405904157,124.2842105263158,177105.0
185919,20210416_Timecourse5EU_s5_NA,698,nuclei,2690.4800000000005,0.8952325110683192,53.80653266331658,1.5746717881619376,110.11997487437186,175311.0
185920,20210416_Timecourse5EU_s5_NA,699,nuclei,1823.51,0.788406769113036,44.78776645041705,2.769458702033287,105.98239110287302,114355.0
185921,20210416_Timecourse5EU_s5_NA,700,nuclei,402.22,0.702886602765199,76.22268907563026,1.280469700916689,107.84873949579833,25668.0
185922,20210416_Timecourse5EU_s5_NA,701,nuclei,2989.61,0.9432235029746888,64.96495195025437,1.9402264020592623,117.83550028264555,208451.0
185923,20210416_Timecourse5EU_s5_NA,702,nuclei,2964.26,0.8989192437308077,68.64481185860889,1.521411041743861,109.1145952109464,191387.0
185924,20210416_Timecourse5EU_s5_NA,703,nuclei,1287.7800000000002,0.8244731243223498,59.387139107611546,1.6582230832686904,172.86745406824147,131725.0
185925,20210416_Timecourse5EU_s5_NA,704,nuclei,1368.9,0.905183429729842,113.63827160493828,1.7933374384940912,123.91975308641976,100375.0
185926,20210416_Timecourse5EU_s5_NA,705,nuclei,579.6700000000001,0.802240471017696,66.51895043731778,1.5073308999969308,107.20991253644316,36773.0
